k,z,domain,n_rows,task,reduction_pct,answer_preserved,invariant_preserved,recovered
2,1.5,identity_events,250,aggregation,99.63552701481386,1,1,1
2,1.5,identity_events,250,join,99.82771137634057,1,1,1
2,1.5,identity_events,250,negative_evidence,99.9242268706756,1,1,1
2,1.5,identity_events,250,threshold,75.24187079199854,1,1,0
2,1.5,identity_events,250,provenance,75.24187079199854,1,1,0
2,1.5,identity_events,250,lookup,99.90554009462934,1,1,1
2,1.5,identity_events,250,rare_event,74.04152847140153,1,1,0
2,1.5,identity_events,250,latest_state,99.78651214212192,1,1,1
2,1.5,identity_events,250,aggregation,99.62681983573295,1,1,1
2,1.5,identity_events,250,join,99.76999224835754,1,1,1
2,1.5,identity_events,250,negative_evidence,99.9324378703739,1,1,1
2,1.5,identity_events,250,threshold,74.04152847140153,1,1,0
2,1.5,identity_events,250,provenance,74.04152847140153,1,1,0
2,1.5,identity_events,250,lookup,99.9090705316625,1,1,1
2,1.5,identity_events,250,rare_event,75.60933316980126,1,1,0
2,1.5,identity_events,250,latest_state,99.78747880074604,1,1,1
2,1.5,identity_events,250,aggregation,99.61006060554797,1,1,1
2,1.5,identity_events,250,join,99.88580950487848,1,1,1
2,1.5,identity_events,250,negative_evidence,99.90589857346467,1,1,1
2,1.5,identity_events,250,threshold,75.60933316980126,1,1,0
2,1.5,identity_events,250,provenance,75.60933316980126,1,1,0
2,1.5,identity_events,250,lookup,99.9100070088659,1,1,1
2,1.5,identity_events,250,rare_event,75.99283444042358,1,1,0
2,1.5,identity_events,250,latest_state,99.84563555167821,1,1,1
2,1.5,identity_events,250,aggregation,99.63536957474605,1,1,1
2,1.5,identity_events,250,join,99.76792395698124,1,1,1
2,1.5,identity_events,250,negative_evidence,99.9584973499711,1,1,1
2,1.5,identity_events,250,threshold,75.99283444042358,1,1,0
2,1.5,identity_events,250,provenance,75.99283444042358,1,1,0
2,1.5,identity_events,500,lookup,73.42722238760275,1,1,0
2,1.5,identity_events,500,rare_event,73.42722238760275,1,1,0
2,1.5,identity_events,500,latest_state,99.92340704125532,1,1,1
2,1.5,identity_events,500,aggregation,99.6275230388018,1,1,1
2,1.5,identity_events,500,join,99.89385042232065,1,1,1
2,1.5,identity_events,500,negative_evidence,99.95773085679235,1,1,1
2,1.5,identity_events,500,threshold,73.42722238760275,1,1,0
2,1.5,identity_events,500,provenance,73.42722238760275,1,1,0
2,1.5,identity_events,500,lookup,75.61829777717007,1,1,0
2,1.5,identity_events,500,rare_event,75.61829777717007,1,1,0
2,1.5,identity_events,500,latest_state,99.91340174277667,1,1,1
2,1.5,identity_events,500,aggregation,99.63463379112754,1,1,1
2,1.5,identity_events,500,join,99.90354416882103,1,1,1
2,1.5,identity_events,500,negative_evidence,99.97509107656367,1,1,1
2,1.5,identity_events,500,threshold,75.61829777717007,1,1,0
2,1.5,identity_events,500,provenance,75.61829777717007,1,1,0
2,1.5,identity_events,500,lookup,99.95288831672602,1,1,1
2,1.5,identity_events,500,rare_event,74.0097018306859,1,1,0
2,1.5,identity_events,500,latest_state,99.92250392773809,1,1,1
2,1.5,identity_events,500,aggregation,99.68133445695581,1,1,1
2,1.5,identity_events,500,join,99.84500785547617,1,1,1
2,1.5,identity_events,500,negative_evidence,99.96696888723264,1,1,1
2,1.5,identity_events,500,threshold,74.0097018306859,1,1,0
2,1.5,identity_events,500,provenance,74.0097018306859,1,1,0
2,1.5,identity_events,500,lookup,99.95384792892581,1,1,1
2,1.5,identity_events,500,rare_event,73.40635099073465,1,1,0
2,1.5,identity_events,500,latest_state,99.9129885265528,1,1,1
2,1.5,identity_events,500,aggregation,99.6353351264895,1,1,1
2,1.5,identity_events,500,join,99.85540429108407,1,1,1
2,1.5,identity_events,500,negative_evidence,99.9624220522217,1,1,1
2,1.5,identity_events,500,threshold,73.40635099073465,1,1,0
2,1.5,identity_events,500,provenance,73.40635099073465,1,1,0
2,1.5,identity_events,500,lookup,74.82428764617987,1,1,0
2,1.5,identity_events,500,rare_event,74.82428764617987,1,1,0
2,1.5,identity_events,500,latest_state,99.87345109970465,1,1,1
2,1.5,identity_events,500,aggregation,99.56613318451042,1,1,1
2,1.5,identity_events,500,join,99.87535727560868,1,1,1
2,1.5,identity_events,500,negative_evidence,99.97892616639433,1,1,1
2,1.5,identity_events,500,threshold,74.82428764617987,1,1,0
2,1.5,identity_events,500,provenance,74.82428764617987,1,1,0
2,1.5,cloud_inventory,50,lookup,99.53654674901176,1,1,1
2,1.5,cloud_inventory,50,rare_event,70.3347977896845,1,1,0
2,1.5,cloud_inventory,50,latest_state,98.75538685764016,1,1,1
2,1.5,cloud_inventory,50,aggregation,99.5428379696134,1,1,1
2,1.5,cloud_inventory,50,join,98.56350462928982,1,1,1
2,1.5,cloud_inventory,50,negative_evidence,99.70955531555714,1,1,1
2,1.5,cloud_inventory,50,threshold,70.3347977896845,1,1,0
2,1.5,cloud_inventory,50,provenance,70.3347977896845,1,1,0
2,1.5,cloud_inventory,50,lookup,78.22885572139303,1,1,0
2,1.5,cloud_inventory,50,rare_event,78.22885572139303,1,1,0
2,1.5,cloud_inventory,50,latest_state,99.33595181984812,1,1,1
2,1.5,cloud_inventory,50,aggregation,99.63341188792879,1,1,1
2,1.5,cloud_inventory,50,join,99.05629746006808,1,1,1
2,1.5,cloud_inventory,50,negative_evidence,99.83241686305315,1,1,1
2,1.5,cloud_inventory,50,threshold,78.22885572139303,1,1,0
2,1.5,cloud_inventory,50,provenance,78.22885572139303,1,1,0
2,1.5,cloud_inventory,50,lookup,99.52992529169813,1,1,1
2,1.5,cloud_inventory,50,rare_event,80.1372450264417,1,1,0
2,1.5,cloud_inventory,50,latest_state,99.13539830437338,1,1,1
2,1.5,cloud_inventory,50,aggregation,99.5026441702342,1,1,1
2,1.5,cloud_inventory,50,join,98.85419289851423,1,1,1
2,1.5,cloud_inventory,50,negative_evidence,99.75027281121463,1,1,1
2,1.5,cloud_inventory,50,threshold,80.1372450264417,1,1,0
2,1.5,cloud_inventory,50,provenance,80.1372450264417,1,1,0
2,1.5,cloud_inventory,50,lookup,99.53998658730823,1,1,1
2,1.5,cloud_inventory,50,rare_event,70.23115935954397,1,1,0
2,1.5,cloud_inventory,50,latest_state,99.24134462234889,1,1,1
2,1.5,cloud_inventory,50,aggregation,99.59237991449409,1,1,1
2,1.5,cloud_inventory,50,join,99.15437169922039,1,1,1
2,1.5,cloud_inventory,50,negative_evidence,99.75060776259535,1,1,1
2,1.5,cloud_inventory,50,threshold,70.23115935954397,1,1,0
2,1.5,cloud_inventory,50,provenance,70.23115935954397,1,1,0
2,1.5,cloud_inventory,50,lookup,99.51462430660615,1,1,1
2,1.5,cloud_inventory,50,rare_event,72.14447806354009,1,1,0
2,1.5,cloud_inventory,50,latest_state,99.2404185577408,1,1,1
2,1.5,cloud_inventory,50,aggregation,99.54824340225248,1,1,1
2,1.5,cloud_inventory,50,join,99.43688014792403,1,1,1
2,1.5,cloud_inventory,50,negative_evidence,99.71108589678937,1,1,1
2,1.5,cloud_inventory,50,threshold,72.14447806354009,1,1,0
2,1.5,cloud_inventory,50,provenance,72.14447806354009,1,1,0
2,1.5,cloud_inventory,100,lookup,99.76916996047431,1,1,1
2,1.5,cloud_inventory,100,rare_event,73.1083003952569,1,1,0
2,1.5,cloud_inventory,100,latest_state,99.46982872200265,1,1,1
2,1.5,cloud_inventory,100,aggregation,99.67009222661397,1,1,1
2,1.5,cloud_inventory,100,join,99.3270092226614,1,1,1
2,1.5,cloud_inventory,100,negative_evidence,99.81080368906456,1,1,1
2,1.5,cloud_inventory,100,threshold,73.1083003952569,1,1,0
2,1.5,cloud_inventory,100,provenance,73.1083003952569,1,1,0
2,1.5,cloud_inventory,100,lookup,99.76363828215679,1,1,1
2,1.5,cloud_inventory,100,rare_event,76.07998311702016,1,1,0
2,1.5,cloud_inventory,100,latest_state,99.51936266751082,1,1,1
2,1.5,cloud_inventory,100,aggregation,99.72617917062362,1,1,1
2,1.5,cloud_inventory,100,join,99.23024163764904,1,1,1
2,1.5,cloud_inventory,100,negative_evidence,99.81587000105519,1,1,1
2,1.5,cloud_inventory,100,threshold,76.07998311702016,1,1,0
2,1.5,cloud_inventory,100,provenance,76.07998311702016,1,1,0
2,1.5,cloud_inventory,100,lookup,80.10206507440924,1,1,0
2,1.5,cloud_inventory,100,rare_event,80.10206507440924,1,1,0
2,1.5,cloud_inventory,100,latest_state,99.66242452097565,1,1,1
2,1.5,cloud_inventory,100,aggregation,99.56521968820493,1,1,1
2,1.5,cloud_inventory,100,join,99.32643390335515,1,1,1
2,1.5,cloud_inventory,100,negative_evidence,99.85524932511318,1,1,1
2,1.5,cloud_inventory,100,threshold,80.10206507440924,1,1,0
2,1.5,cloud_inventory,100,provenance,80.10206507440924,1,1,0
2,1.5,cloud_inventory,100,lookup,99.76704719139023,1,1,1
2,1.5,cloud_inventory,100,rare_event,76.1334050111206,1,1,0
2,1.5,cloud_inventory,100,latest_state,99.61736710622016,1,1,1
2,1.5,cloud_inventory,100,aggregation,99.5989206168506,1,1,1
2,1.5,cloud_inventory,100,join,99.42394248911657,1,1,1
2,1.5,cloud_inventory,100,negative_evidence,99.83029229780013,1,1,1
2,1.5,cloud_inventory,100,threshold,76.1334050111206,1,1,0
2,1.5,cloud_inventory,100,provenance,76.1334050111206,1,1,0
2,1.5,cloud_inventory,100,lookup,99.76552043924082,1,1,1
2,1.5,cloud_inventory,100,rare_event,79.06334636583027,1,1,0
2,1.5,cloud_inventory,100,latest_state,99.61587505664394,1,1,1
2,1.5,cloud_inventory,100,aggregation,99.69227850902614,1,1,1
2,1.5,cloud_inventory,100,join,99.57214066665964,1,1,1
2,1.5,cloud_inventory,100,negative_evidence,99.8566776617382,1,1,1
2,1.5,cloud_inventory,100,threshold,79.06334636583027,1,1,0
2,1.5,cloud_inventory,100,provenance,79.06334636583027,1,1,0
2,1.5,cloud_inventory,250,lookup,99.90948618606933,1,1,1
2,1.5,cloud_inventory,250,rare_event,76.0561354831069,1,1,0
2,1.5,cloud_inventory,250,latest_state,99.76715955808957,1,1,1
2,1.5,cloud_inventory,250,aggregation,99.65317136718154,1,1,1
2,1.5,cloud_inventory,250,join,99.72993892432368,1,1,1
2,1.5,cloud_inventory,250,negative_evidence,99.9236554046052,1,1,1
2,1.5,cloud_inventory,250,threshold,76.0561354831069,1,1,0
