case,domain,n_rows,task,method,bytes,reduction_pct,answer_preserved,invariants_preserved,recovered,latency_us
23,incident_ops,50,threshold,Invariant-preserving gate,34074,64.2556673345432,1,1,0,70.486
24,incident_ops,50,provenance,Raw,95327,0.0,1,1,0,0.0
24,incident_ops,50,provenance,Fixed projection,9689,89.83603805847241,0,0,0,46.34
24,incident_ops,50,provenance,Head-tail sampling,37747,60.40261415968193,0,0,0,0.471
24,incident_ops,50,provenance,Anomaly sampling,34074,64.2556673345432,1,1,0,58.127
24,incident_ops,50,provenance,Task-aware unverified,341,99.64228392795326,1,1,0,3.675
24,incident_ops,50,provenance,Pattern-retention guard,34072,64.25776537602148,1,1,0,70.556
24,incident_ops,50,provenance,Invariant-preserving gate,34074,64.2556673345432,1,1,0,62.464
25,incident_ops,50,lookup,Raw,95478,0.0,1,1,0,0.0
25,incident_ops,50,lookup,Fixed projection,9695,89.84582835836528,0,0,0,46.681
25,incident_ops,50,lookup,Head-tail sampling,37727,60.486185299231245,0,0,0,0.491
25,incident_ops,50,lookup,Anomaly sampling,35946,62.35153647960787,1,1,0,58.838
25,incident_ops,50,lookup,Task-aware unverified,430,99.54963447076814,1,1,0,3.024
25,incident_ops,50,lookup,Pattern-retention guard,35944,62.35363120299964,1,1,0,58.758
25,incident_ops,50,lookup,Invariant-preserving gate,35946,62.35153647960787,1,1,0,60.721
26,incident_ops,50,rare_event,Raw,95478,0.0,1,1,0,0.0
26,incident_ops,50,rare_event,Fixed projection,9695,89.84582835836528,1,1,0,45.999
26,incident_ops,50,rare_event,Head-tail sampling,37727,60.486185299231245,0,0,0,0.481
26,incident_ops,50,rare_event,Anomaly sampling,35946,62.35153647960787,1,1,0,55.874
26,incident_ops,50,rare_event,Task-aware unverified,352,99.6313286830474,1,1,0,4.227
26,incident_ops,50,rare_event,Pattern-retention guard,35944,62.35363120299964,1,1,0,61.212
26,incident_ops,50,rare_event,Invariant-preserving gate,35946,62.35153647960787,1,1,0,59.96
27,incident_ops,50,latest_state,Raw,95478,0.0,1,1,0,0.0
27,incident_ops,50,latest_state,Fixed projection,9695,89.84582835836528,1,1,0,45.759
27,incident_ops,50,latest_state,Head-tail sampling,37727,60.486185299231245,0,0,0,0.481
27,incident_ops,50,latest_state,Anomaly sampling,35946,62.35153647960787,0,0,0,53.49
27,incident_ops,50,latest_state,Task-aware unverified,169,99.82299587339492,0,0,0,3.035
27,incident_ops,50,latest_state,Pattern-retention guard,41587,56.443369153103326,1,1,1,64.987
27,incident_ops,50,latest_state,Invariant-preserving gate,816,99.14535285615534,1,1,1,67.431
28,incident_ops,50,aggregation,Raw,95478,0.0,1,1,0,0.0
28,incident_ops,50,aggregation,Fixed projection,9695,89.84582835836528,0,0,0,45.528
28,incident_ops,50,aggregation,Head-tail sampling,37727,60.486185299231245,0,0,0,0.501
28,incident_ops,50,aggregation,Anomaly sampling,35946,62.35153647960787,0,0,0,54.462
28,incident_ops,50,aggregation,Task-aware unverified,481,99.49621902427785,1,1,0,8.923
28,incident_ops,50,aggregation,Pattern-retention guard,43475,54.465950271266685,1,1,1,58.779
28,incident_ops,50,aggregation,Invariant-preserving gate,477,99.50040847106139,1,1,1,69.194
29,incident_ops,50,join,Raw,95478,0.0,1,1,0,0.0
29,incident_ops,50,join,Fixed projection,9695,89.84582835836528,0,0,0,46.48
29,incident_ops,50,join,Head-tail sampling,37727,60.486185299231245,0,0,0,0.441
29,incident_ops,50,join,Anomaly sampling,35946,62.35153647960787,0,0,0,54.151
29,incident_ops,50,join,Task-aware unverified,628,99.34225685498231,1,1,0,6.961
29,incident_ops,50,join,Pattern-retention guard,41608,56.42137455748968,1,1,1,61.171
29,incident_ops,50,join,Invariant-preserving gate,624,99.34644630176585,1,1,1,77.666
30,incident_ops,50,negative_evidence,Raw,95478,0.0,1,1,0,0.0
30,incident_ops,50,negative_evidence,Fixed projection,9695,89.84582835836528,1,1,0,45.849
30,incident_ops,50,negative_evidence,Head-tail sampling,37727,60.486185299231245,0,0,0,0.541
30,incident_ops,50,negative_evidence,Anomaly sampling,35946,62.35153647960787,0,0,0,54.051
30,incident_ops,50,negative_evidence,Task-aware unverified,78,99.91830578772073,0,0,0,0.47
30,incident_ops,50,negative_evidence,Pattern-retention guard,43484,54.45652401600369,1,1,1,60.761
30,incident_ops,50,negative_evidence,Invariant-preserving gate,280,99.70673872515134,1,1,1,67.482
31,incident_ops,50,threshold,Raw,95478,0.0,1,1,0,0.0
31,incident_ops,50,threshold,Fixed projection,9695,89.84582835836528,0,0,0,44.367
31,incident_ops,50,threshold,Head-tail sampling,37727,60.486185299231245,0,0,0,0.45
31,incident_ops,50,threshold,Anomaly sampling,35946,62.35153647960787,1,1,0,54.302
31,incident_ops,50,threshold,Task-aware unverified,181,99.81042753304426,1,1,0,2.925
31,incident_ops,50,threshold,Pattern-retention guard,39730,58.38831982236745,1,1,1,61.422
31,incident_ops,50,threshold,Invariant-preserving gate,35946,62.35153647960787,1,1,0,58.067
32,incident_ops,50,provenance,Raw,95478,0.0,1,1,0,0.0
32,incident_ops,50,provenance,Fixed projection,9695,89.84582835836528,0,0,0,44.778
32,incident_ops,50,provenance,Head-tail sampling,37727,60.486185299231245,0,0,0,0.46
32,incident_ops,50,provenance,Anomaly sampling,35946,62.35153647960787,1,1,0,52.89
32,incident_ops,50,provenance,Task-aware unverified,476,99.50145583275727,1,1,0,4.167
32,incident_ops,50,provenance,Pattern-retention guard,35944,62.35363120299964,1,1,0,59.069
32,incident_ops,50,provenance,Invariant-preserving gate,35946,62.35153647960787,1,1,0,57.897
33,incident_ops,50,lookup,Raw,95396,0.0,1,1,0,0.0
33,incident_ops,50,lookup,Fixed projection,9740,89.78992829888045,0,0,0,45.208
33,incident_ops,50,lookup,Head-tail sampling,37710,60.47004067256489,0,0,0,0.47
